OTU ID	S31	S1	S42	S13_T2	S30	S50	S43	S20	S29	S47U	S26	S13_T3	S33	S8L	S23	S10R	S49	S14L	S11	S8R	S22	S38U	S47I	S37	S19	S24	S13_T1	S46	S14R	S3	S27	S44	S10L	S28	S10	S39	S9	S25	S5	S45	S48	S16	S6	S18	S12	S2	S36	S34	S17	S4	S15	S40	S38I	S32	S41	S7	S35	S21	taxonomy
36	0	0	0	2	0	1	3	0	0	147	7	0	0	1	0	29	0	26	0	20	0	0	41	14	0	0	0	0	13	0	0	0	0	0	0	1	41	58	0	2	15	0	8566	1	0	28	0	0	0	17	0	0	32	0	0	85	0	0	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;|94
37	29	158	481	5	423	3	182	10	193	3	13	11	354	5	10	279	215	10	11	17	520	164	15	162	727	120	10	483	6	161	25	273	131	159	305	264	213	19	6	378	134	7	110	180	222	269	29	185	34	9	10	198	102	135	593	99	88	428	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;|83
38	7	189	214	53	286	39	98	6	359	56	2	149	158	249	210	313	147	148	122	173	139	80	37	55	374	35	275	152	94	374	326	107	154	26	240	117	131	123	127	126	60	64	9	113	275	358	26	116	153	269	123	65	58	80	110	299	39	415	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;|100
39	14	7	65	60	61	12	50	5	7	33	50	11	227	250	245	5	60	35	66	310	33	25	44	31	99	27	90	1638	38	83	112	74	82	18	78	82	64	20	766	2	27	149	158	2	270	411	87	72	70	359	34	20	43	33	63	205	22	131	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;unclassified;|70
40	2	284	46	37	69	3	11	7	72	16	85	10	70	4	992	72	19	5	7	73	6	0	15	1	42	9	3	3682	0	3	7	11	24	1	2	19	155	3	40	14	6	77	34	12	162	59	67	26	24	86	57	30	7	11	27	47	11	98	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;|80
41	9	73	252	218	46	25	239	40	200	73	246	48	28	99	260	12	146	259	218	109	485	52	36	26	229	44	131	109	78	82	44	126	33	54	8	147	10	12	323	163	184	50	100	204	71	13	14	72	441	12	87	127	30	40	213	44	46	183	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;|100
42	2	1	0	1	9	0	1	0	25	40	0	16	0	2	18	80	1	1	16	57	50	0	5	1	2	1	44	0	64	1	1	0	0	0	22	0	1	0	1	0	0	15	0	5838	60	2	1	3	23	1	3	10	0	1	24	0	0	1	Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineococcus;|99
43	10	167	211	104	130	20	94	10	153	35	181	291	107	71	103	101	55	94	210	219	92	70	28	68	299	54	209	125	53	117	209	44	103	32	104	139	279	210	65	81	55	58	259	75	59	453	9	34	77	66	110	143	47	32	140	70	53	118	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Bhargavaea;|79
44	17	8	5	0	0	0	2	4	4	0	0	0	3072	55	24	12	0	5	5	86	12	5	2	14	14	0	15	0	1	21	0	7	63	33	40	4	1450	2	2	9	1	1	437	3	698	116	1	33	2	7	4	15	4	11	1	4	33	29	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia;|100
45	0	79	0	1	0	0	0	1	0	0	6	0	2	0	1	23	0	16	2	83	4	0	7	6	2	1	3	0	10	2	0	6	6	0	1	0	43	15	40	0	5	1	4053	0	3	1382	4	12	0	129	1	0	53	3	21	103	21	4	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;|97
